competency_id,competency_name,title,url,citation,summary
FK.AC.1,Artistic Expression,Why We Need Arts Education,https://doi.org/10.2190/EM.31.2.EOV.1,"Roege, G. B., & Kim, K. H. (2013). Why we need arts education. Empirical Studies of the Arts, 31(2), 121-130. https://doi.org/10.2190/EM.31.2.EOV.1","This article highlights that arts education correlates with higher academic performance, creativity, entrepreneurial skills, self-confidence, better mental health, and other life skills. It emphasizes the role of arts in promoting emotional well-being and social skills, offering methods for expression, conflict resolution, and therapeutic uses in improving psychological well-being. The article advocates for a balanced educational approach that includes arts education to equip students with critical emotional and cognitive skills for personal and professional success."
FK.AC.1,Artistic Expression,What is Community-Based Art Education?,https://doi.org/10.1080/00043125.2005.11651529,"Ulbricht, J. (2005). What is community-based art education? Art Education, 58(2), 6–12. https://doi.org/10.1080/00043125.2005.11651529","This article defines community-based arts education as programs and initiatives outside traditional K-12 curricula that enhance art skills, empower students, and integrate learning about local art and culture in real-world contexts. It outlines objectives such as improving art skills, educating the public about art, and addressing social issues through artistic efforts. Examples range from traditional teaching in community centers to innovative public art installations and ethnographic art studies, demonstrating how students can research and create art reflecting their community's culture and social issues."
FK.AC.1,Artistic Expression,"Philosophical and Practical Foundations of Artistic Inquiry: Creating Paradigms, Methods, and Presentations Based in Art / Aesthetic-Based Research as Pedagogy: The Interplay of Knowing and Unknowing Toward Expanded Seeing",,"McNiff, S. (2018). Philosophical and practical foundations of artistic inquiry: Creating paradigms, methods, and presentations based in art. In: P. Leavy (Ed.), Handbook of arts-based research (pp. 22-37).. The Guilford Press. Bresler, L. (2018). Aesthetic-based research as pedagogy: The interplay of knowing and unknowing toward expanded seeing. In: P. Leavy (Ed.), Handbook of arts-based research, (pp. 649–673). The Guilford Press.","McNiff argues that artistic inquiry is a legitimate way of constructing knowledge, offering unique insights inaccessible through traditional scientific methods, and provides a dynamic way to explore complex subjects. Bresler discusses how aesthetic experiences enrich educational processes, enhancing perceptual understanding and cognitive and emotional engagement, and promoting “multisensory learning” and creative problem-solving. These innovations underscore the unique contributions of arts-based research for understanding complex content."
FK.AC.1,Artistic Expression,STEAM by Another Name: Transdisciplinary Practice in Art and Design Education,https://doi.org/10.1080/10632913.2017.1292973,"Costantino, T. (2017). STEAM by another name: Transdisciplinary practice in art and design education. Arts Education Policy Review, 119(2), 100–106. https://doi.org/10.1080/10632913.2017.1292973","This article argues that integrating arts into STEM (STEAM) learning enhances students' creative thinking and application of knowledge in innovative ways, preparing them for complex problem-solving in real-world contexts, representing a return to traditional intertwined modes of knowledge production. It highlights pedagogies like critical making and object-based learning as effective for STEAM education, fostering deep engagement with material and conceptual elements of both art and science. These pedagogies emphasize active, experiential learning, which is crucial for understanding and innovation across disciplines, helping students grasp abstract concepts tangibly and encouraging an explorative, inquiry-based approach."
FK.AC.1,Artistic Expression,Educating for Cultural Citizenship: Reframing the Goals of Arts Education,https://doi.org/10.1080/03626784.2014.980940,"Kuttner, P. J. (2015). Educating for cultural citizenship: Reframing the goals of arts education. Curriculum Inquiry, 45(1), 69–92. https://doi.org/10.1080/03626784.2014.980940","This article advocates for cultural citizenship, emphasizing the importance of recognizing and nurturing individuals' cultural capacities and rights through participation, self-expression, and cultural identity. It argues that arts education goals should shift from purely aesthetic appreciation to developing students' abilities to engage with and contribute to cultural life meaningfully. The author suggests educational strategies like integrating community-based learning, promoting interdisciplinary projects, and encouraging critical reflection on cultural issues through artistic expression to foster social engagement."
FK.AC.2,Art Analysis,The Shaping and Reshaping the Aesthetic Brain: Emerging Perspectives on the Neurobiology of Embodied Aesthetics,https://doi.org/10.1016/j.neubiorev.2015.12.005,"Kirsch, L. P., Urgesi, C., & Cross, E. S. (2016). The shaping and reshaping the aesthetic brain: Emerging perspectives on the neurobiology of embodied aesthetics. Neuroscience and Biobehavioral Reviews, 62, 56-68. https://doi.org/10.1016/j.neubiorev.2015.12.005","This article presents neuroscientific evidence that aesthetic experiences have neurobiological underpinnings and can reshape the brain, with repeated engagement with aesthetically pleasing objects leading to long-term changes in neural networks. It explains how art exposure can influence emotional regulation, enhance resilience, stimulate neural networks for complex cognitive functions like creativity and problem-solving, and increase connectivity between brain regions. This demonstrates that artistic activities promote neuroplasticity, allowing the brain to reorganize itself and adapt to new situations."
FK.AC.2,Art Analysis,Studio Thinking 3: The Real Benefits of Visual Arts Education,,"Sheridan, K.M., Veenema, S., & Winner, E., Hetland, L. (2022). Studio thinking 3: The real benefits of visual arts education. Teachers College Press.",The summary for this source is not available in the provided text. The provided text only contains the citation.
FK.SS.1,Governments,Civic Purpose: An Integrated Construct for Understanding Civic Development in Adolescents,https://www.jstor.org/stable/26765100,"Malin, H., Ballard, P. J., & Damon, W. (2015). Civic purpose: An integrated construct for understanding civic development in adolescence. Human Development, 58(2), 103–130. https://www.jstor.org/stable/26765100","This study investigates the development of “civic purpose” in adolescence, highlighting its role in reducing antisocial behavior through emotional and cognitive growth. Early indicators of purpose often stem from empathy in response to others' suffering, motivating moral actions and fostering civic responsibility. As adolescents' cognitive abilities mature, they better understand moral ambiguity and make ethical decisions, contributing to their comprehension of governments, public policies, and individual rights and responsibilities, which supports the formulation of a civic purpose aimed at contributing to the greater good."
FK.SS.2,Politics,Civic Engagement and the Transition to Adulthood,https://doi.org/10.1353/foc.0.0043,"Flanagan, C., & Levine, P. (2010). Civic engagement and the transition to adulthood. The Future of Children, 20(1), 159-179. https://doi.org/10.1353/foc.0.0043","This review provides a comprehensive analysis of the civic engagement patterns of young adults, exploring how these patterns have evolved and differ across various demographics. The authors emphasize that civic engagement is critical for democratic societies and personal development, and suggest that effective civic education, particularly in structured settings like Americorps, is pivotal for fostering engaged citizens during the transition to adulthood."
FK.SS.2,Politics,"Different Pedagogy, Different Politics: High School Learning Opportunities and Youth Political Engagement",https://doi.org/10.1111/j.1467-9221.2012.00936.x,"Kahne, J., Crow, D., & Lee, N.-J. (2013). Different pedagogy, different politics: High school learning opportunities and youth political engagement. Political Psychology, 34(3), 419-441. https://doi.org/10.1111/j.1467-9221.2012.00936.x","This study assesses how different pedagogical approaches, specifically open discussions of societal issues and service learning, affect students' engagement with civic and political issues. The findings suggest that these distinct pedagogical methods have different impacts on various types of civic and political engagement, highlighting the importance of diverse strategies for cultivating a politically and civically active populace."
